plan,abbrev,family,trigger,county_rows,policies,acres,liability,premium,subsidy,producer_premium,cost_per_dollar_liab,premium_rate,realized_subsidy_share,liab_per_acre,producer_cost_per_acre
88,ECO-RP,ECO,AREA (county),7319,512587,99795125.0,6110158746.0,2884367866.0,2321198395.0,563169471.0,0.09216936816390858,0.4720610357117553,0.804751163109789,61.227026330193986,5.643256331408974
32,SCO-RP,SCO,AREA (county),7244,296002,56766018.0,3333179424.0,853948717.0,686611728.0,167336989.0,0.050203414732227745,0.2561964444071883,0.8040432807395388,58.71786574848354,2.9478373663623896
76,WFRP,WFRP,INDIVIDUAL (whole farm),95,1703,0.0,2565840468.0,209119122.0,142543008.0,66576114.0,0.025947097970550833,0.08150121747943372,0.681635455604103,,
37,HIP-WI,HIP-WI,INDEX (wind grid),1749,73446,6735673.0,962586051.0,194654098.0,156320030.0,38334068.0,0.0398240427026508,0.20221994469770266,0.8030657027318274,142.9086671814383,5.691200864412509
17,MP-HPO,MP,AREA (county margin),505,1642,270426.0,285678727.0,16707899.0,7396250.0,9311649.0,0.0325948281056293,0.058484925270617015,0.44267983664493066,1056.402590727223,34.43326085509529
68,MCO-RP,MCO,AREA (county margin),1121,8820,1889828.0,119746985.0,61664891.0,49600155.0,12064736.0,0.10075189784527769,0.5149598630813127,0.8043499987699646,63.3639595772737,6.384039182401785
31,SCO-YP,SCO,AREA (county),1932,6567,737579.0,69871317.0,6519282.0,5223062.0,1296220.0,0.018551532383452855,0.09330412363631274,0.8011713559867483,94.73062139784348,1.7573981905667053
87,ECO-YP,ECO,AREA (county),2292,7697,1009284.0,59195274.0,14770869.0,11838918.0,2931951.0,0.049530153370013964,0.2495278423747139,0.8015045018678318,58.65076034099421,2.9049811549573756
89,ECO-RPHPE,ECO,AREA (county),494,1537,379782.0,32204021.0,11023673.0,8859420.0,2164253.0,0.06720443388109826,0.34230734727194473,0.8036722424549422,84.7960698505985,5.698671869651537
16,MP,MP,AREA (county margin),89,137,23430.0,20815798.0,811857.0,362220.0,449637.0,0.021600757270991963,0.03900196379692001,0.4461623167626811,888.4250106700811,19.19065300896287
35,STAX-RP,STAX,AREA (county),434,6517,190883.0,17225676.0,7574021.0,6056833.0,1517188.0,0.08807712393986744,0.4396936874930191,0.7996852662542129,90.24206451072122,7.9482615005003066
33,SCO-RPHPE,SCO,AREA (county),296,833,218511.0,12415849.0,1674821.0,1349005.0,325816.0,0.026241942858680062,0.13489379582499755,0.8054621956615066,56.820247035618344,1.4910736759247818
69,MCO-RPHPE,MCO,AREA (county margin),9,13,3610.0,466467.0,162662.0,135536.0,27126.0,0.058152023615818484,0.3487106269039396,0.8332370190948101,129.2152354570637,7.514127423822715
67,MCO-YP,MCO,AREA (county margin),12,14,1757.0,143575.0,27665.0,22131.0,5534.0,0.038544314818039355,0.19268674908584363,0.7999638532441713,81.71599317017643,3.149686966420034
27,PACE-RP,PACE,INDIVIDUAL (unit),14,21,2176.0,105636.0,6947.0,3062.0,3885.0,0.0367772350335113,0.06576356545117194,0.44076579818626743,48.54595588235294,1.7853860294117647
36,STAX-RPHPE,STAX,AREA (county),5,6,80.0,5760.0,2624.0,2099.0,525.0,0.09114583333333333,0.45555555555555555,0.7999237804878049,72.0,6.5625
