family,crop,liability,acres,cost_per_dollar_liab,producer_cost_per_acre,liab_per_acre,subsidy_share
ECO,Corn,3530107005.0,44578743.0,0.09186699908548523,7.274775266767841,79.18812347400643,0.8047574484555654
ECO,Soybeans,1938365002.0,36005939.0,0.08593485222242989,4.6262676276822,53.83459106565725,0.8050431005877616
ECO,Wheat,322676480.0,11139826.0,0.10958784476637405,3.1743242668242755,28.966025142583018,0.8049360914711052
ECO,Cotton,202596402.0,4035808.0,0.11169912089554285,5.607263774688985,50.19971267215883,0.7993980533921058
ECO,Canola,60291984.0,1499946.0,0.08782877339050578,3.5303744268126986,40.19610305971015,0.8115271996847404
ECO,Grain Sorghum,30835323.0,1083507.0,0.10976275487693124,3.123717705561662,28.45881291029961,0.8051692600579973
ECO,Rice,27812150.0,241733.0,0.06629692418601223,7.627671852829361,115.05317850686501,0.8023699612973704
ECO,Dry Peas,20286701.0,976590.0,0.10713506350786163,2.225516337459937,20.772996856408522,0.8118247162760737
ECO,Dry Beans,20136513.0,345275.0,0.09010855057178967,5.255150242560278,58.320217218159435,0.8066569636693824
ECO,Sunflowers,16693856.0,341141.0,0.1097639155387467,5.371336192366206,48.93535517571913,0.8134321922460421
ECO,Barley,12627663.0,494913.0,0.0896791433220858,2.2881556960516294,25.514914742591124,0.8073310426164533
ECO,Peanuts,12484600.0,127247.0,0.1023889431779953,10.045698523344361,98.11311858039875,0.778922829793313
HIP-WI,Corn,252965150.0,1777912.0,0.042077606342217494,5.986892489617034,142.2821545723298,0.8037848175755741
HIP-WI,Cotton,227710751.0,1535084.0,0.03691477439288758,5.4758508329185895,148.33764862378865,0.8000008993652195
HIP-WI,Soybeans,211748189.0,1914087.0,0.03965897909048941,4.387322519822766,110.62620925799088,0.8037620948127886
HIP-WI,Peanuts,173387766.0,682467.0,0.03909981745770921,9.933711080535762,254.06029302515725,0.8005232966891086
HIP-WI,Rice,62316426.0,303770.0,0.04867796814920034,9.985966356124699,205.14345063699508,0.8121710835913313
HIP-WI,Grain Sorghum,31264191.0,475024.0,0.03184090066491725,2.095641483377682,65.81602403246994,0.8030523444166344
MCO,Corn,59760591.0,750598.0,0.10497929981984282,8.35816908651502,79.61730646764313,0.804332689989999
MCO,Soybeans,55008887.0,1011125.0,0.09416791145038074,5.12307775992088,54.403646433428115,0.8042022822363705
MP,Corn,187763220.0,157828.0,0.035312554823037225,42.010283346427755,1189.6698938084496,0.4429201895503326
MP,Soybeans,117987267.0,135168.0,0.026416460684694054,23.058756510416668,872.8934881036931,0.4423976283339031
SCO,Corn,1676707307.0,22904203.0,0.044389633592740105,3.249553062378988,73.20522381852798,0.8044392007103398
SCO,Soybeans,924185747.0,18278869.0,0.041361541361230277,2.091253403041512,50.56033537961238,0.8050870207365154
SCO,Cotton,359689413.0,4374718.0,0.07558040080540263,6.214222265298015,82.22002263917354,0.7995504019422386
SCO,Wheat,263038188.0,8301475.0,0.072560722627849,2.2991385265871425,31.68571705630626,0.8044644807596083
SCO,Canola,41303391.0,852849.0,0.04148112197373818,2.008926550890017,48.42989907943845,0.8121689777674969
SCO,Grain Sorghum,35517666.0,958308.0,0.08526083893012565,3.1600132733943576,37.06289209732153,0.8046900581589398
SCO,Rice,32237817.0,216448.0,0.015998788007264883,2.382863320520402,148.94023968805442,0.8069507549741155
SCO,Peanuts,26937353.0,175387.0,0.03811450961792719,5.853934442119427,153.58808235502062,0.7957403463467865
SCO,Dry Peas,18523523.0,758145.0,0.08179961230917035,1.9985847034538249,24.43269163550508,0.8133735239220877
SCO,Barley,11618578.0,377881.0,0.05347349735914326,1.6441313535213467,30.74665833953017,0.80715836339471
SCO,Dry Beans,10585446.0,145641.0,0.04659104585673575,3.386319786323906,72.68177230312892,0.8076295687231446
SCO,Sunflowers,9498645.0,163989.0,0.07747505038876598,4.48754489630402,57.92245211569069,0.8124480727140015
STAX,Cotton,17231436.0,190963.0,0.08807814972588471,7.947680964375298,90.23442237501506,0.7996853488582347
WFRP,All crops (whole-farm),2565840468.0,0.0,0.025947097970550833,,,0.681635455604103
